SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
H,H,H,H,H,L,NA,L,NT,NA,NA,H,N,30,N,N,S,N,N,N,N,0,116,2,Cat 4
H,H,H,H,H,L,NA,H,H,NA,NA,H,N,0,N,N,S,N,N,N,N,0,496,2.5,Cat 4
H,H,H,H,H,H,NA,H,H,NA,NA,H,N,1000,N,N,S,N,N,N,N,NT,900,2.5,Cat 4
H,H,H,H,H,H,H,NT,H,H,H,ST.OP,NT,NT,N,NT,S,N,N,N,N,20,31,3.3,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,NT,NT,N,NT,S,N,N,N,N,15,432,1.4,Cat 5
H,H,H,H,H,L,L,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,30,780,2.94,Cat 5
H,H,L,L,L,L,L,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,15,270,2.9,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,NT,NA,N,NT,S,N,N,N,N,6,51,2,Cat 5
H,H,H,H,H,L,L,NT,H,H,H,H,NT,0,N,NT,S,N,N,N,N,10,165,2.5,Cat 4
H,H,H,H,H,L,I,H,H,NA,H,H,N,0,N,N,S,Y,N,N,N,6,11,1.3,Cat 5
H,H,H,H,H,L,I,H,H,H,H,H,NT,800,N,NT,S,N,N,N,N,5,238,2.7,Cat 5
H,H,H,H,H,H,I,H,H,H,H,H,N,0,N,N,S,N,N,N,N,20,540,1.2,Cat 5
H,H,H,H,H,L,L,H,H,L,H,H,Y,0,N,Y,S,Y,N,N,N,5,89,2.8,Cat 5
H,H,H,NA,P,L,L,H,H,NT,H,ST.OP,N,NA,N,N,S,Y,N,N,N,12,128,1.85,Cat 4
H,H,H,H,H,L,L,H,H,NT,H,H,N,0,N,N,S,N,N,N,N,5,497,2.2,Cat 4
H,H,H,H,L,L,L,H,NT,NT,L,H,Y,0,N,Y,S,Y,N,N,N,60,164,2.5,Cat 3
H,H,H,H,NA,H,H,NT,NT,NA,L,H,N,0,N,N,S,N,N,N,N,65,1841,2.3,Cat 4
H,H,H,H,L,L,L,H,H,H,H,L,N,NA,N,N,S,N,N,N,N,40,553,1.4,Cat 4
